Boroughs;Year;% of economically active with NVQ4+ - working age;% of economically active with NVQ3 only - working age;% of economically active with Trade Apprenticeships - working age;% of economically active with NVQ2 only - working age;% of economically active with NVQ1 only - working age;% of economically active with other qualifications - working age;% of economically active with no qualifications - working age;Gross Annual Pay - Full Time - Total (£);Gross Annual Pay - Full Time - Male (£);Gross Annual Pay - Full Time - Female (£);Those who have done any voluntary work in the last 12 months (%);Number of active businesses;Two-year business survival rates;Number Employed - Total;Number Employed - Male;Number Employed - Female;Jobs Density;Crime Rates per thousand population;Fires per thousand population;Ambulance incidents per hundred population;Total Carbon Emissions;Household Waste Recycling Rate;Number of Licensed Vehicles;Traffic Flows;% of adults who cycle at least once per month;Road Casualties (Killed or Seriously Injured);% children living in out-of-work households;% of Children in Poverty,,,,,,,,,,,,,,,,
Newham;2013;52,2;15,5;0,9;10,7;6,1;12;2,5;25784;28804;21311;38,87760719;8540;70;103700;52400;51300;0,46;90,97279615;2,919299745;13,0699155;1451,508453;18;70026;834;7;57;22,7;25,3,,
Redbridge;2013;26,6;21,3;3,8;21,8;14,5;7;5;29858;28616;30128;16,93825795;12085;74,7;84600;41100;43500;0,45;69,53155353;2,064022867;11,56269079;965,0255322;29;112189;1084;10;51;15,1;17,8,,
Richmond upon Thames;2013;46,5;15,1;2,4;14,1;10,4;8;3,5;35738;38734;29431;23,75572754;13065;78,8;96700;49300;47300;0,76;54,96302877;1,546782327;9,94434719;886,055126;43;86836;772;32;48;7,0;8,3,
Southwark;2013;49,3;8,6;0,9;12;8,8;13,2;7,1;31173;34381;25528;26,92526823;14580;73,4;262200;155700;106500;1,17;104,5184679;3,166211;14,61415782;1460,096427;34;68465;698;16;87;25,6;27,4,
Sutton;2013;72,1;7,3;0,6;4,7;4,5;4,1;6,7;37325;41081;32818;31,12863711;7805;76;77000;38000;39100;0,61;53,08962096;2,409220372;11,79854426;781,3002105;37;97205;605;12;31;13,5;13,8,
Tower Hamlets;2013;67,3;7,9;!;7;4,3;7,4;6,1;31307;29322;32207;31,07867349;15030;69,7;269100;168500;100600;1,34;99,45032797;3,767085639;12,36358972;1954,809494;28;49851;863;19;87;31,5;35,5,,
Waltham Forest;2013;58,8;12,8;1,9;11,3;7,6;6;1,6;29450;32055;26337;42,70229617;8970;71;82300;47400;34900;0,45;83,13487361;2,385278991;12,42150965;851,3431107;33;85215;684;13;54;21,9;23,4,,
Wandsworth;2013;68,8;9,7;1,1;5,6;3,8;7,3;3,7;35397;38439;31883;31,66478385;16550;75,8;133300;66900;66400;0,59;71,62593876;2,14803746;11,00361978;1168,792397;20;92869;763;18;99;17,1;18,9
Westminster;2013;59,4;13,2;1,2;9;6,6;6,5;4;30478;30853;29796;27,8685493;50915;68,8;715800;405100;310800;4,35;238,2902562;4,377515528;21,63718199;3028,744916;21;59126;817;18;177;22,2;30,3,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
;;;;;;11,3;6,2;5,9;27372;29727;23724;24,48879334;;;;;;;;;;;;;;;;;,,,,,,,,,,,,
